Município,2019,2022,Mudança_2022_2019
MASSAPÊ,3.0,18.0,15.0
SOBRAL,18.0,28.0,10.0
GUARACIABA DO NORTE,2.0,11.0,9.0
MORAUJO,0.0,5.0,5.0
CEDRO,0.0,5.0,5.0
QUITERIANÓPOLIS,6.0,10.0,4.0
CROATA,1.0,5.0,4.0
IPÚEIRAS,0.0,4.0,4.0
VARJOTA,1.0,5.0,4.0
NOVA OLINDA,1.0,5.0,4.0
RERIUTABA,4.0,7.0,3.0
SÃO BENEDITO,6.0,9.0,3.0
MONSENHOR TABOSA,0.0,3.0,3.0
FRECHEIRINHA,2.0,4.0,2.0
MUCAMBO,3.0,5.0,2.0
UBAJARA,2.0,4.0,2.0
MADALENA,0.0,2.0,2.0
MILHÃ,1.0,3.0,2.0
SANTA QUITÉRIA,3.0,5.0,2.0
HORIZONTE,0.0,2.0,2.0
PIRES FERREIRA,3.0,4.0,1.0
SENADOR POMPEU,2.0,3.0,1.0
IBICUITINGA,3.0,4.0,1.0
GRAÇA,2.0,3.0,1.0
SANTANA DO ACARAU,2.0,3.0,1.0
IRAUÇUBA,1.0,2.0,1.0
MARCO,0.0,1.0,1.0
HIDROLÂNDIA,1.0,2.0,1.0
BREJO SANTO,0.0,1.0,1.0
CHORO,0.0,1.0,1.0
PENTECOSTE,2.0,3.0,1.0
BAIXIO,0.0,1.0,1.0
ERERE,0.0,1.0,1.0
LIMOEIRO DO NORTE,0.0,1.0,1.0
CRATEUS,2.0,3.0,1.0
CRATO,2.0,3.0,1.0
COREAU,5.0,5.0,0.0
GROAÍRAS,2.0,2.0,0.0
ALTO SANTO,1.0,1.0,0.0
ITATIRA,4.0,4.0,0.0
POTIRETAMA,1.0,1.0,0.0
ITAPIÚNA,2.0,2.0,0.0
VIÇOSA DO CEARÁ,3.0,3.0,0.0
DEPUTADO IRAPUAN PINHEIRO,3.0,3.0,0.0
IPÚ,1.0,1.0,0.0
IPAPORANGA,2.0,2.0,0.0
URUOCA,1.0,1.0,0.0
CANINDE,1.0,1.0,0.0
SOLONÓPOLE,4.0,4.0,0.0
PACUJÁ,1.0,0.0,-1.0
MERUOCA,5.0,4.0,-1.0
PACAJUS,1.0,0.0,-1.0
MARTINÓPOLE,1.0,0.0,-1.0
NOVO ORIENTE,10.0,9.0,-1.0
MORRINHOS,4.0,3.0,-1.0
ITAREMA,1.0,0.0,-1.0
JAGUARIBE,1.0,0.0,-1.0
SÃO GONÇALO DO AMARANTE,1.0,0.0,-1.0
ALTANEIRA,3.0,2.0,-1.0
ANTONINA DO NORTE,2.0,1.0,-1.0
ARARENDA,7.0,6.0,-1.0
BARBALHA,1.0,0.0,-1.0
CAMPOS SALES,2.0,1.0,-1.0
CARIRE,5.0,4.0,-1.0
TARRAFAS,1.0,0.0,-1.0
EUSEBIO,3.0,2.0,-1.0
JAGUARETAMA,1.0,0.0,-1.0
FORTALEZA,1.0,0.0,-1.0
FORTIM,2.0,1.0,-1.0
GRANJA,3.0,2.0,-1.0
ICAPUÍ,1.0,0.0,-1.0
INDEPENDÊNCIA,3.0,2.0,-1.0
ALCANTARAS,3.0,2.0,-1.0
PORTEIRAS,2.0,1.0,-1.0
SALITRE,3.0,1.0,-2.0
VÁRZEA ALEGRE,2.0,0.0,-2.0
PIQUET CARNEIRO,2.0,0.0,-2.0
JIJOCA DE JERICOACOARA,5.0,3.0,-2.0
ASSARÉ,2.0,0.0,-2.0
FORQUILHA,3.0,1.0,-2.0
IRACEMA,2.0,0.0,-2.0
FARIAS BRITO,2.0,0.0,-2.0
PARACURU,2.0,0.0,-2.0
RUSSAS,3.0,0.0,-3.0
CHOROZINHO,3.0,0.0,-3.0
TAMBORIL,7.0,4.0,-3.0
CATUNDA,5.0,2.0,-3.0
TRAIRI,3.0,0.0,-3.0
CARIDADE,4.0,1.0,-3.0
BARROQUINHA,3.0,0.0,-3.0
CAMOCIM,7.0,3.0,-4.0
MOMBAÇA,8.0,3.0,-5.0
PEDRA BRANCA,15.0,10.0,-5.0
IBIAPINA,6.0,0.0,-6.0
CRUZ,14.0,8.0,-6.0
NOVA RUSSAS,8.0,1.0,-7.0
QUIXERAMOBIM,17.0,10.0,-7.0
ACARAU,9.0,2.0,-7.0
